mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2022,29,28-Nov-2022,"1ra Ronda, Grupo G",Camerún,3,3,Serbia,../partidos/2022_camerun_serbia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,30,28-Nov-2022,"1ra Ronda, Grupo H",Corea del Sur,2,3,Ghana,../partidos/2022_corea_del_sur_ghana.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,31,28-Nov-2022,"1ra Ronda, Grupo G",Brasil,1,0,Suiza,../partidos/2022_brasil_suiza.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,32,28-Nov-2022,"1ra Ronda, Grupo H",Portugal,2,0,Uruguay,../partidos/2022_portugal_uruguay.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,33,29-Nov-2022,"1ra Ronda, Grupo A",Paises Bajos,2,0,Catar,../partidos/2022_holanda_catar.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,34,29-Nov-2022,"1ra Ronda, Grupo A",Ecuador,1,2,Senegal,../partidos/2022_ecuador_senegal.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,35,29-Nov-2022,"1ra Ronda, Grupo B",Gales,0,3,Inglaterra,../partidos/2022_gales_inglaterra.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,36,29-Nov-2022,"1ra Ronda, Grupo B",Irán,0,1,Estados Unidos,../partidos/2022_iran_estados_unidos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,37,30-Nov-2022,"1ra Ronda, Grupo D",Australia,1,0,Dinamarca,../partidos/2022_australia_dinamarca.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,38,30-Nov-2022,"1ra Ronda, Grupo D",Túnez,1,0,Francia,../partidos/2022_tunez_francia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,39,30-Nov-2022,"1ra Ronda, Grupo C",Arabia Saudita,1,2,México,../partidos/2022_arabia_saudita_mexico.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,40,30-Nov-2022,"1ra Ronda, Grupo C",Polonia,0,2,Argentina,../partidos/2022_polonia_argentina.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,41,01-Dec-2022,"1ra Ronda, Grupo F",Croacia,0,0,Bélgica,../partidos/2022_croacia_belgica.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,42,01-Dec-2022,"1ra Ronda, Grupo F",Canadá,1,2,Marruecos,../partidos/2022_canada_marruecos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,43,01-Dec-2022,"1ra Ronda, Grupo E",Japón,2,1,España,../partidos/2022_japon_espana.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,44,01-Dec-2022,"1ra Ronda, Grupo E",Costa Rica,2,4,Alemania,../partidos/2022_costa_rica_alemania.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,45,02-Dec-2022,"1ra Ronda, Grupo H",Ghana,0,2,Uruguay,../partidos/2022_ghana_uruguay.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,46,02-Dec-2022,"1ra Ronda, Grupo H",Corea del Sur,2,1,Portugal,../partidos/2022_corea_del_sur_portugal.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,47,02-Dec-2022,"1ra Ronda, Grupo G",Serbia,2,3,Suiza,../partidos/2022_serbia_suiza.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,48,02-Dec-2022,"1ra Ronda, Grupo G",Camerún,1,0,Brasil,../partidos/2022_camerun_brasil.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,49,03-Dec-2022,Octavos,Paises Bajos,3,1,Estados Unidos,../partidos/2022_holanda_estados_unidos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,50,03-Dec-2022,Octavos,Argentina,2,1,Australia,../partidos/2022_argentina_australia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,51,04-Dec-2022,Octavos,Inglaterra,3,0,Senegal,../partidos/2022_inglaterra_senegal.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,52,04-Dec-2022,Octavos,Francia,3,1,Polonia,../partidos/2022_francia_polonia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,53,05-Dec-2022,Octavos,Japón,1,1,Croacia,../partidos/2022_japon_croacia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,54,05-Dec-2022,Octavos,Brasil,4,1,Corea del Sur,../partidos/2022_brasil_corea_del_sur.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,55,06-Dec-2022,Octavos,Marruecos,0,0,España,../partidos/2022_marruecos_espana.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,56,06-Dec-2022,Octavos,Portugal,6,1,Suiza,../partidos/2022_portugal_suiza.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,57,09-Dec-2022,Cuartos,Paises Bajos,2,2,Argentina,../partidos/2022_holanda_argentina.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,58,09-Dec-2022,Cuartos,Croacia,1,1,Brasil,../partidos/2022_croacia_brasil.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,59,10-Dec-2022,Cuartos,Inglaterra,1,2,Francia,../partidos/2022_inglaterra_francia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,60,10-Dec-2022,Cuartos,Marruecos,1,0,Portugal,../partidos/2022_marruecos_portugal.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,61,13-Dec-2022,Semis,Argentina,3,0,Croacia,../partidos/2022_argentina_croacia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,62,14-Dec-2022,Semis,Francia,2,0,Marruecos,../partidos/2022_francia_marruecos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,63,17-Dec-2022,3er Puesto,Croacia,2,1,Marruecos,../partidos/2022_croacia_marruecos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,64,18-Dec-2022,Final,Argentina,3,3,Francia,../partidos/2022_argentina_francia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
