id_mundial,grupo,id_seleccion,posicion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado
10,2,35,3,3,1,2,0,3,1,2,4,0
10,2,92,4,3,0,0,3,0,14,-14,0,0
10,3,66,1,3,2,1,0,6,1,5,5,1
10,3,81,2,3,1,2,0,3,0,3,4,1
10,3,13,3,3,0,2,1,2,5,-3,2,0
10,3,89,4,3,0,1,2,1,6,-5,1,0
10,4,70,1,3,3,0,0,12,3,9,6,1
10,4,7,2,3,1,1,1,7,5,2,3,1
10,4,56,3,3,1,1,1,5,4,1,3,0
10,4,44,4,3,0,0,3,2,14,-12,0,0
10,A,66,1,3,3,0,0,8,0,8,6,1
10,A,12,2,3,2,0,1,3,3,0,4,1
10,A,3,3,3,0,1,2,1,4,-3,1,0
10,A,7,4,3,0,1,2,2,7,-5,1,0
10,B,2,1,3,3,0,0,7,2,5,6,1
10,B,70,2,3,2,0,1,3,2,1,4,1
10,B,81,3,3,1,0,2,4,6,-2,2,0
10,B,91,4,3,0,0,3,2,6,-4,0,0
11,1,56,1,3,3,0,0,6,2,4,6,1
11,1,7,2,3,2,0,1,4,3,1,4,1
11,1,40,3,3,1,0,2,5,5,0,2,0
11,1,46,4,3,0,0,3,3,8,-5,0,0
11,2,70,1,3,2,1,0,4,1,3,5,1
11,2,2,2,3,1,2,0,6,0,6,4,1
11,2,86,3,3,1,1,1,3,2,1,3,0
11,2,62,4,3,0,0,3,2,12,-10,0,0
11,3,9,1,3,2,0,1,3,2,1,4,1
11,3,12,2,3,1,2,0,2,1,1,4,1
11,3,38,3,3,1,1,1,2,2,0,3,0
11,3,81,4,3,0,1,2,1,3,-2,1,0
11,4,69,1,3,2,1,0,7,2,5,5,1
11,4,66,2,3,1,1,1,5,3,2,3,1
11,4,35,3,3,1,1,1,5,6,-1,3,0
11,4,53,4,3,0,1,2,2,8,-6,1,0
11,A,66,1,3,2,1,0,9,4,5,5,1
11,A,56,2,3,1,1,1,2,2,0,3,1
11,A,2,3,3,0,2,1,4,5,-1,2,0
11,A,9,4,3,1,0,2,4,8,-4,2,0
11,B,7,1,3,2,1,0,8,0,8,5,1
11,B,12,2,3,2,1,0,6,1,5,5,1
11,B,70,3,3,1,0,2,2,5,-3,2,0
11,B,69,4,3,0,0,3,0,10,-10,0,0
12,A,70,1,3,1,2,0,5,1,4,4,1
12,A,56,2,3,0,3,0,2,2,0,3,1
12,A,16,3,3,0,3,0,1,1,0,3,0
12,A,69,4,3,0,2,1,2,6,-4,2,0
12,B,2,1,3,2,0,1,6,3,3,4,1
12,B,9,2,3,2,0,1,3,1,2,4,1
12,B,6,3,3,2,0,1,5,5,0,4,0
12,B,20,4,3,0,0,3,3,8,-5,0,0
12,C,14,1,3,2,1,0,3,1,2,5,1
12,C,7,2,3,2,0,1,6,2,4,4,1
12,C,46,3,3,1,1,1,12,6,6,3,0
12,C,33,4,3,0,0,3,1,13,-12,0,0
12,D,49,1,3,3,0,0,6,1,5,6,1
12,D,40,2,3,1,1,1,6,5,1,3,1
12,D,19,3,3,0,2,1,2,4,-2,2,0
12,D,60,4,3,0,1,2,2,6,-4,1,0
12,E,52,1,3,1,2,0,2,1,1,4,1
12,E,38,2,3,1,1,1,3,3,0,3,1
12,E,91,3,3,1,1,1,2,2,0,3,0
12,E,45,4,3,0,2,1,2,3,-1,2,0
12,F,12,1,3,3,0,0,10,2,8,6,1
12,F,87,2,3,1,1,1,6,4,2,3,1
12,F,35,3,3,1,1,1,8,8,0,3,0
12,F,65,4,3,0,0,3,2,12,-10,0,0
12,1,70,1,2,1,1,0,3,0,3,3,1
12,1,87,2,2,1,1,0,1,0,1,3,0
12,1,14,3,2,0,0,2,0,4,-4,0,0
12,2,2,1,2,1,1,0,2,1,1,3,1
12,2,49,2,2,0,2,0,0,0,0,2,0
12,2,38,3,2,0,1,1,1,2,-1,1,0
12,3,56,1,2,2,0,0,5,3,2,4,1
12,3,12,2,2,1,0,1,5,4,1,2,0
12,3,7,3,2,0,0,2,2,5,-3,0,0
12,4,40,1,2,2,0,0,5,1,4,4,1
12,4,9,2,2,0,1,1,2,3,-1,1,0
12,4,52,3,2,0,1,1,3,6,-3,1,0
13,A,7,1,3,2,1,0,6,2,4,5,1
13,A,56,2,3,1,2,0,5,4,1,4,1
13,A,13,3,3,0,2,1,2,4,-2,2,1
13,A,24,4,3,0,1,2,4,7,-3,1,0
13,B,62,1,3,2,1,0,4,2,2,5,1
13,B,68,2,3,1,2,0,4,3,1,4,1
13,B,14,3,3,1,1,1,5,5,0,3,1
13,B,50,4,3,0,0,3,1,4,-3,0,0
13,C,87,1,3,2,1,0,9,1,8,5,1
13,C,40,2,3,2,1,0,5,1,4,5,1
13,C,46,3,3,1,0,2,2,9,-7,2,0
13,C,17,4,3,0,0,3,0,5,-5,0,0
13,D,12,1,3,3,0,0,5,0,5,6,1
13,D,38,2,3,2,0,1,5,2,3,4,1
13,D,52,3,3,0,1,2,2,6,-4,1,0
13,D,6,4,3,0,1,2,1,5,-4,1,0
13,E,30,1,3,3,0,0,9,1,8,6,1
13,E,2,2,3,1,1,1,3,4,-1,3,1
13,E,89,3,3,0,2,1,2,7,-5,2,1
13,E,35,4,3,0,1,2,1,3,-2,1,0
13,F,61,1,3,1,2,0,3,1,2,4,1
13,F,49,2,3,1,1,1,3,1,2,3,1
13,F,70,3,3,1,1,1,1,3,-2,3,1
13,F,71,4,3,1,0,2,2,4,-2,2,0
14,A,56,1,3,3,0,0,4,0,4,6,1
14,A,19,2,3,2,0,1,6,3,3,4,1
14,A,9,3,3,1,0,2,2,3,-1,2,0
14,A,39,4,3,0,0,3,2,8,-6,0,0
14,B,16,1,3,2,0,1,3,5,-2,4,1
14,B,75,2,3,1,1,1,4,3,1,3,1
14,B,7,3,3,1,1,1,3,2,1,3,1
14,B,87,4,3,1,0,2,4,4,0,2,0
14,C,12,1,3,3,0,0,4,1,3,6,1
14,C,25,2,3,2,0,1,3,2,1,4,1
14,C,35,3,3,1,0,2,2,3,-1,2,0
14,C,81,4,3,0,0,3,3,6,-3,0,0
14,D,2,1,3,2,1,0,10,3,7,5,1
14,D,91,2,3,2,0,1,6,5,1,4,1
14,D,22,3,3,1,1,1,3,2,1,3,1
14,D,34,4,3,0,0,3,2,11,-9,0,0
14,E,38,1,3,2,1,0,5,2,3,5,1
14,E,14,2,3,2,0,1,6,3,3,4,1
14,E,89,3,3,1,1,1,2,3,-1,3,1
14,E,24,4,3,0,0,3,1,6,-5,0,0
14,F,49,1,3,1,2,0,2,1,1,4,1
14,F,51,2,3,0,3,0,2,2,0,3,1
14,F,66,3,3,0,3,0,2,2,0,3,1
14,F,32,4,3,0,2,1,1,2,-1,2,0
15,A,75,1,3,2,0,1,5,5,0,6,1
15,A,82,2,3,1,1,1,5,4,1,4,1
15,A,39,3,3,1,1,1,3,3,0,4,1
15,A,22,4,3,1,0,2,4,5,-1,3,0
15,B,12,1,3,2,1,0,6,1,5,7,1
15,B,81,2,3,1,2,0,6,4,2,5,1
15,B,76,3,3,1,0,2,7,6,1,3,0
15,B,16,4,3,0,1,2,3,11,-8,1,0
