id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5095,https://www.losmundialesdefutbol.com/jugadores/ion_lapusneanu.php,Ion Lapusneanu,,8 de diciembre de 1908,,Arquero,75,,,1,2,0,0
5096,https://www.losmundialesdefutbol.com/jugadores/alfonso_lara.php,Alfonso Lara,,27 de abril de 1946,,Mediocampista,20,,,1,1,0,0
5097,https://www.losmundialesdefutbol.com/jugadores/christian_lara.php,Christian Lara,,27 de abril de 1980,,Mediocampista,31,162,,1,2,0,0
5098,https://www.losmundialesdefutbol.com/jugadores/diogenes_lara.php,Diogenes Lara,,6 de abril de 1903,,Mediocampista,10,,,1,2,0,0
5099,https://www.losmundialesdefutbol.com/jugadores/raul_lara.php,Raul Lara,,28 de febrero de 1973,,Mediocampista,62,,,1,3,0,0
5100,https://www.losmundialesdefutbol.com/jugadores/salah_larbes.php,Salah Larbes,,16 de septiembre de 1952,,Defensor,6,,,1,2,0,0
5101,https://www.losmundialesdefutbol.com/jugadores/dimitar_largov.php,Dimitar Largov,,10 de septiembre de 1936,,Defensor,13,,,1,1,0,0
5102,https://www.losmundialesdefutbol.com/jugadores/cyle_larin.php,Cyle Larin,Cyle Christopher Larin,17 de abril de 1995,,Delantero,17,188,,1,3,0,0
5103,https://www.losmundialesdefutbol.com/jugadores/nikolai_larionov.php,Nikolai Larionov,,19 de febrero de 1957,,Defensor,87,,,1,2,0,0
5104,https://www.losmundialesdefutbol.com/jugadores/jean_francois_larios.php,Jean-Francois Larios,,27 de agosto de 1956,,Mediocampista,40,,,1,2,0,0
5105,https://www.losmundialesdefutbol.com/jugadores/pablo_larios.php,Pablo Larios,,31 de julio de 1960,,Arquero,62,,,1,5,0,0
5106,https://www.losmundialesdefutbol.com/jugadores/omar_larrosa.php,Omar Larrosa,,18 de noviembre de 1947,,Mediocampista,7,,,1,2,0,0
5107,https://www.losmundialesdefutbol.com/jugadores/soren_larsen.php,Soren Larsen,,6 de septiembre de 1981,,Delantero,30,194,,1,1,0,0
5108,https://www.losmundialesdefutbol.com/jugadores/bo_larsson.php,Bo Larsson,,5 de mayo de 1944,,Mediocampista,81,,,3,11,0,0
5109,https://www.losmundialesdefutbol.com/jugadores/lennart_larsson.php,Lennart Larsson,,9 de julio de 1953,,Mediocampista,81,,,1,3,0,0
5110,https://www.losmundialesdefutbol.com/jugadores/peter_larsson.php,Peter Larsson,,8 de marzo de 1961,,Defensor,81,,,1,3,0,0
