id_mundial,id_jugador,id_seleccion,amarillas,rojas,rojas_directas,rojas_x2amarillas,partidos
22,234,16,0,1,-,1,3
22,2774,61,0,1,-,1,2
22,267,66,0,1,-,1,5
22,4177,41,0,1,1,-,2
22,1543,7,3,0,,,6
22,5851,7,3,0,,,4
22,1674,5,2,0,,,3
22,1689,5,2,0,,,2
22,2580,25,2,0,,,2
22,2677,70,2,0,,,4
22,3121,8,2,0,,,4
22,3536,16,2,0,,,3
22,4007,78,2,0,,,2
22,4022,77,2,0,,,3
22,4409,8,2,0,,,4
22,4423,58,2,0,,,3
22,4461,53,2,0,,,2
22,4633,24,2,0,,,4
22,4963,27,2,0,,,7
22,5321,78,2,0,,,3
22,5666,31,2,0,,,2
22,5742,78,2,0,,,3
22,6282,14,2,0,,,2
22,23,7,2,0,,,7
22,6419,7,2,0,,,5
22,299,78,2,0,,,3
22,6992,7,2,0,,,7
22,7218,82,2,0,,,2
22,7270,42,2,0,,,2
22,1501,86,1,0,,,3
22,1507,5,1,0,,,3
22,1539,39,1,0,,,2
22,1552,39,1,0,,,4
22,1558,17,1,0,,,3
22,1572,18,1,0,,,3
22,1603,18,1,0,,,3
22,246,82,1,0,,,4
22,1613,66,1,0,,,5
22,1663,18,1,0,,,1
22,1672,5,1,0,,,2
22,1677,5,1,0,,,3
22,55,5,1,0,,,3
22,1684,5,1,0,,,1
22,1695,5,1,0,,,3
22,59,5,1,0,,,3
22,1737,18,1,0,,,3
22,1767,62,1,0,,,1
22,1770,62,1,0,,,2
22,1786,61,1,0,,,7
22,1791,42,1,0,,,3
22,8450,61,1,0,,,7
22,1888,62,1,0,,,1
22,144,42,1,0,,,3
22,2029,5,1,0,,,2
22,249,41,1,0,,,3
22,2084,27,1,0,,,1
22,2113,16,1,0,,,1
22,2153,8,1,0,,,4
22,2216,89,1,0,,,3
22,2221,70,1,0,,,4
22,2230,66,1,0,,,4
22,2234,66,1,0,,,4
22,2354,25,1,0,,,3
22,2387,18,1,0,,,3
22,2388,61,1,0,,,7
22,2468,27,1,0,,,6
22,2479,17,1,0,,,3
22,39,38,1,0,,,4
22,2555,89,1,0,,,1
22,117,31,1,0,,,3
22,453,25,1,0,,,3
22,2652,14,1,0,,,2
22,254,12,1,0,,,4
22,46,89,1,0,,,3
22,235,24,1,0,,,4
22,259,30,1,0,,,3
22,2857,77,1,0,,,3
22,2880,89,1,0,,,2
22,2903,82,1,0,,,2
22,2910,25,1,0,,,3
22,2930,30,1,0,,,3
22,3035,12,1,0,,,3
22,260,61,1,0,,,3
22,90,17,1,0,,,3
22,261,66,1,0,,,5
22,3088,66,1,0,,,2
22,3144,40,1,0,,,7
22,3148,14,1,0,,,2
22,262,66,1,0,,,5
22,3162,39,1,0,,,4
22,263,77,1,0,,,4
22,3184,71,1,0,,,4
22,457,25,1,0,,,3
22,266,8,1,0,,,4
22,3437,82,1,0,,,2
22,3449,58,1,0,,,4
22,268,71,1,0,,,4
22,238,71,1,0,,,4
22,269,7,1,0,,,7
22,3690,70,1,0,,,4
22,3695,12,1,0,,,4
22,396,89,1,0,,,3
22,14,40,1,0,,,6
22,3945,1,1,0,,,3
22,41,40,1,0,,,7
22,4029,12,1,0,,,2
22,4050,62,1,0,,,1
22,281,40,1,0,,,6
22,4229,62,1,0,,,2
22,4276,17,1,0,,,3
22,4304,53,1,0,,,3
22,283,24,1,0,,,2
22,4472,77,1,0,,,4
22,4478,53,1,0,,,1
22,4482,41,1,0,,,3
22,4537,30,1,0,,,2
22,4583,17,1,0,,,3
22,4617,78,1,0,,,1
22,4691,53,1,0,,,1
22,4747,86,1,0,,,3
22,4752,1,1,0,,,1
22,4790,86,1,0,,,2
22,284,24,1,0,,,4
22,4851,1,1,0,,,3
22,4872,70,1,0,,,4
22,4928,66,1,0,,,5
22,287,77,1,0,,,4
22,4954,40,1,0,,,6
22,4998,30,1,0,,,3
22,406,70,1,0,,,4
22,145,42,1,0,,,3
22,5029,16,1,0,,,2
22,5067,86,1,0,,,3
22,5079,42,1,0,,,2
22,5087,66,1,0,,,1
22,5093,38,1,0,,,3
22,5155,24,1,0,,,4
22,5239,27,1,0,,,7
22,5302,27,1,0,,,6
22,5364,18,1,0,,,2
22,5366,5,1,0,,,1
22,409,49,1,0,,,5
22,5497,12,1,0,,,5
22,5513,7,1,0,,,5
22,5618,39,1,0,,,4
22,5681,77,1,0,,,4
22,5690,41,1,0,,,3
22,5,7,1,0,,,7
22,412,14,1,0,,,3
22,5745,70,1,0,,,3
22,293,78,1,0,,,3
22,5749,12,1,0,,,4
22,5758,17,1,0,,,3
22,242,78,1,0,,,3
22,11,27,1,0,,,7
22,5816,18,1,0,,,2
22,5860,8,1,0,,,4
22,5878,62,1,0,,,3
22,6090,71,1,0,,,5
22,6141,16,1,0,,,2
22,6179,89,1,0,,,3
22,6264,89,1,0,,,3
22,6324,17,1,0,,,3
22,6343,61,1,0,,,7
22,6526,71,1,0,,,1
22,300,27,1,0,,,6
22,6588,7,1,0,,,3
22,6691,53,1,0,,,3
22,302,40,1,0,,,6
22,6779,78,1,0,,,0
22,6807,41,1,0,,,3
22,6824,39,1,0,,,4
22,159,53,1,0,,,2
22,6891,82,1,0,,,2
22,6935,41,1,0,,,3
22,7078,61,1,0,,,5
22,171,61,1,0,,,6
22,7160,62,1,0,,,2
22,225,86,1,0,,,2
22,7416,30,1,0,,,1
22,27,89,1,0,,,3
22,7616,42,1,0,,,2
22,7690,5,1,0,,,2
22,7697,58,1,0,,,2
22,305,40,1,0,,,7
22,7760,40,1,0,,,5
22,7768,66,1,0,,,4
22,7790,16,1,0,,,3
22,8016,82,1,0,,,4
22,8116,71,1,0,,,3
22,8118,17,1,0,,,3
22,244,66,1,0,,,4
22,8229,82,1,0,,,3
22,8244,42,1,0,,,3
22,434,82,1,0,,,4
22,8311,58,1,0,,,1
22,8346,58,1,0,,,4
8,6817,7,1,1,1,-,4
8,7377,89,1,1,1,-,2
8,1713,7,0,1,1,-,3
8,1159,87,0,1,1,-,4
8,7849,89,0,1,1,-,4
8,330,2,2,0,,,6
8,1156,7,1,0,,,4
8,1192,71,1,0,,,6
8,3152,12,1,0,,,2
8,1130,13,1,0,,,2
8,24,71,1,0,,,6
8,3864,38,1,0,,,1
8,4801,87,1,0,,,4
8,4905,13,1,0,,,2
8,1160,20,1,0,,,3
8,1079,2,1,0,,,6
8,1148,49,1,0,,,5
8,7079,87,1,0,,,4
8,7451,7,1,0,,,4
8,7562,49,1,0,,,6
8,1238,87,1,0,,,5
8,1185,2,1,0,,,6
8,1152,13,1,0,,,3
9,3664,89,2,0,,,4
9,5150,49,2,0,,,3
9,3,2,2,0,,,6
9,1147,62,2,0,,,4
9,6707,55,2,0,,,3
9,1120,87,1,0,,,4
9,2070,55,1,0,,,3
9,2170,55,1,0,,,1
9,1111,87,1,0,,,4
9,1113,56,1,0,,,6
9,1122,56,1,0,,,6
9,1123,12,1,0,,,6
9,1168,89,1,0,,,6
9,2974,81,1,0,,,1
9,3102,56,1,0,,,6
9,3252,19,1,0,,,3
9,1131,56,1,0,,,6
9,3325,75,1,0,,,3
9,3641,33,1,0,,,3
9,1134,12,1,0,,,4
9,4299,19,1,0,,,2
9,1139,87,1,0,,,4
9,5045,19,1,0,,,2
9,5255,2,1,0,,,6
9,5261,87,1,0,,,2
9,5288,2,1,0,,,1
9,5299,87,1,0,,,2
9,5374,33,1,0,,,3
9,1142,89,1,0,,,6
