id_mundial,id_seleccion,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
17,89,26,Grupos 1ra Ronda,2,3,0,2,1,4,5,-1
17,63,27,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2
17,40,28,Grupos 1ra Ronda,1,3,0,1,2,0,3,-3
17,86,29,Grupos 1ra Ronda,1,3,0,1,2,1,5,-4
17,37,30,Grupos 1ra Ronda,0,3,0,0,3,2,7,-5
17,21,31,Grupos 1ra Ronda,0,3,0,0,3,0,9,-9
17,5,32,Grupos 1ra Ronda,0,3,0,0,3,0,12,-12
16,40,1,Final,19,7,6,1,0,15,2,13
16,12,2,Final,13,7,4,1,2,14,10,4
16,27,3,Partido 3er Puesto,15,7,5,0,2,11,5,6
16,66,4,Partido 3er Puesto,12,7,3,3,1,13,7,6
16,56,5,Cuartos de Final,11,5,3,2,0,8,3,5
16,7,6,Cuartos de Final,10,5,3,1,1,10,4,6
16,1,7,Cuartos de Final,10,5,3,1,1,8,6,2
16,30,8,Cuartos de Final,7,5,2,1,2,9,7,2
16,49,9,Octavos de Final,7,4,2,1,1,7,4,3
16,73,10,Octavos de Final,7,4,2,1,1,5,4,1
16,75,11,Octavos de Final,7,4,2,1,1,4,3,1
16,63,12,Octavos de Final,6,4,2,0,2,6,9,-3
16,62,13,Octavos de Final,5,4,1,2,1,8,7,1
16,68,14,Octavos de Final,5,4,1,2,1,3,2,1
16,64,15,Octavos de Final,5,4,1,2,1,5,5,0
16,20,16,Octavos de Final,3,4,0,3,1,5,8,-3
16,38,17,Grupos 1ra Ronda,4,3,1,1,1,8,4,4
16,61,18,Grupos 1ra Ronda,4,3,1,1,1,5,5,0
16,14,19,Grupos 1ra Ronda,3,3,0,3,0,3,3,0
16,53,20,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2
16,22,21,Grupos 1ra Ronda,3,3,1,0,2,1,3,-2
16,57,22,Grupos 1ra Ronda,3,3,1,0,2,3,9,-6
16,9,23,Grupos 1ra Ronda,2,3,0,2,1,3,4,-1
16,80,24,Grupos 1ra Ronda,2,3,0,2,1,3,6,-3
16,16,25,Grupos 1ra Ronda,2,3,0,2,1,2,5,-3
16,86,26,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3
16,35,27,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
16,5,28,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
16,13,29,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6
16,24,30,Grupos 1ra Ronda,1,3,0,1,2,2,9,-7
16,58,31,Grupos 1ra Ronda,0,3,0,0,3,1,4,-3
16,39,32,Grupos 1ra Ronda,0,3,0,0,3,1,5,-4
15,12,1,Final,17,7,5,2,0,11,3,8
15,56,2,Final,14,7,4,2,1,8,5,3
15,81,3,Partido 3er Puesto,12,7,3,3,1,15,8,7
15,13,4,Partido 3er Puesto,10,7,3,1,3,10,11,-1
15,1,5,Cuartos de Final,10,5,3,1,1,9,7,2
15,75,6,Cuartos de Final,10,5,3,1,1,10,9,1
15,66,7,Cuartos de Final,9,5,3,0,2,8,6,2
15,38,8,Cuartos de Final,8,5,2,2,1,10,6,4
15,63,9,Octavos de Final,6,4,2,0,2,7,4,3
15,7,10,Octavos de Final,6,4,2,0,2,8,6,2
15,14,11,Octavos de Final,6,4,2,0,2,4,4,0
15,5,12,Octavos de Final,6,4,2,0,2,5,6,-1
15,62,13,Octavos de Final,5,4,1,2,1,4,4,0
15,39,14,Octavos de Final,4,4,1,1,2,3,4,-1
15,82,15,Octavos de Final,4,4,1,1,2,5,7,-2
15,51,16,Octavos de Final,4,4,1,1,2,2,4,-2
15,64,17,Grupos 1ra Ronda,4,3,1,1,1,1,1,0
15,76,18,Grupos 1ra Ronda,3,3,1,0,2,7,6,1
15,22,19,Grupos 1ra Ronda,3,3,1,0,2,4,5,-1
15,24,20,Grupos 1ra Ronda,2,3,0,2,1,4,5,-1
15,10,21,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3
15,16,22,Grupos 1ra Ronda,1,3,0,1,2,3,11,-8
15,61,23,Grupos 1ra Ronda,0,3,0,0,3,2,5,-3
15,43,24,Grupos 1ra Ronda,0,3,0,0,3,0,10,-10
14,2,1,Final,12,7,5,2,0,15,5,10
14,7,2,Final,7,7,2,3,2,5,4,1
14,56,3,Partido 3er Puesto,13,7,6,1,0,10,2,8
14,49,4,Partido 3er Puesto,9,7,3,3,1,8,6,2
14,91,5,Cuartos de Final,7,5,3,1,1,8,6,2
14,19,6,Cuartos de Final,6,5,3,0,2,10,5,5
14,16,7,Cuartos de Final,6,5,3,0,2,7,9,-2
14,51,8,Cuartos de Final,4,5,0,4,1,2,3,-1
14,12,9,Octavos de Final,6,4,3,0,1,4,2,2
14,38,10,Octavos de Final,5,4,2,1,1,6,4,2
14,14,11,Octavos de Final,4,4,2,0,2,6,4,2
14,75,12,Octavos de Final,4,4,1,2,1,4,3,1
14,25,13,Octavos de Final,4,4,2,0,2,4,6,-2
14,22,14,Octavos de Final,3,4,1,1,2,4,4,0
14,66,15,Octavos de Final,3,4,0,3,1,3,4,-1
14,89,16,Octavos de Final,3,4,1,1,2,2,5,-3
14,87,17,Grupos 1ra Ronda,2,3,1,0,2,4,4,0
14,9,18,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1
14,35,18,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1
14,32,20,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1
14,81,21,Grupos 1ra Ronda,0,3,0,0,3,3,6,-3
14,24,22,Grupos 1ra Ronda,0,3,0,0,3,1,6,-5
14,39,23,Grupos 1ra Ronda,0,3,0,0,3,2,8,-6
14,34,24,Grupos 1ra Ronda,0,3,0,0,3,2,11,-9
13,7,1,Final,13,7,6,1,0,14,5,9
13,2,2,Final,8,7,3,2,2,8,7,1
