id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
22,11,243,38,54,normal
22,11,273,38,74,normal
22,11,303,38,90,normal
22,11,36,38,90,normal
22,13,237,82,48,normal
22,16,233,12,62,normal
22,16,233,12,73,normal
22,23,6,40,61,normal
22,23,259,30,68,normal
22,23,6,40,86,normal
22,29,255,16,29,normal
22,29,299,78,45,normal
22,29,293,78,45,normal
22,29,242,78,53,normal
22,29,234,16,63,normal
22,29,258,16,66,normal
22,40,289,7,46,normal
22,40,230,7,67,normal
22,52,14,40,44,normal
22,52,6,40,74,normal
22,52,6,40,90,normal
22,52,10,70,90,penal
1,965,1455,89,12,normal
1,965,1452,7,20,normal
1,965,66,7,37,normal
1,965,228,89,57,normal
1,965,1456,89,68,normal
1,965,1454,89,89,normal
2,947,1419,19,76,normal
2,947,1413,56,81,normal
2,947,314,56,95,normal
3,930,1373,56,6,normal
3,930,1402,46,8,normal
3,930,316,56,16,normal
3,930,1373,56,35,normal
3,930,317,46,70,normal
3,930,316,56,82,normal
5,890,1291,46,6,normal
5,890,1295,46,8,normal
5,890,323,2,10,normal
5,890,52,2,18,normal
5,890,52,2,84,normal
6,864,1253,81,4,normal
6,864,88,12,9,normal
6,864,88,12,32,normal
6,864,7,12,55,normal
6,864,1232,12,68,normal
6,864,1240,81,80,normal
6,864,7,12,90,normal
7,829,1218,19,15,normal
7,829,1193,12,17,normal
7,829,1233,12,69,normal
7,829,88,12,78,normal
8,797,329,2,12,normal
8,797,151,49,18,normal
8,797,1148,49,78,normal
8,797,1185,2,89,normal
8,797,151,49,101,normal
8,797,151,49,120,normal
9,765,7,12,18,normal
9,765,1113,56,37,normal
9,765,1134,12,66,normal
9,765,87,12,71,normal
9,765,1123,12,86,normal
10,733,335,66,2,penal
10,733,983,2,25,penal
10,733,3,2,43,normal
11,695,34,7,38,normal
11,695,1059,66,82,normal
11,695,34,7,105,normal
11,695,960,7,116,normal
12,657,337,56,57,normal
12,657,973,56,69,normal
12,657,362,56,81,normal
12,657,983,2,83,normal
13,605,913,7,23,normal
13,605,899,7,55,normal
13,605,338,2,74,normal
13,605,357,2,80,normal
13,605,849,7,83,normal
14,553,839,2,85,penal
16,449,35,40,27,normal
16,449,35,40,45,normal
16,449,715,40,90,normal
17,385,2,12,67,normal
17,385,2,12,79,normal
18,321,35,40,7,penal
18,321,567,56,19,normal
19,257,504,38,116,normal
20,193,441,1,113,normal
21,129,111,40,18,autogol
21,129,109,27,28,normal
21,129,41,40,38,penal
21,129,418,40,59,normal
21,129,6,40,65,normal
21,129,111,27,69,normal
17,325,1,1,20,normal
17,325,1,1,25,normal
17,325,630,1,40,normal
17,325,661,1,45,normal
17,325,1,1,70,normal
17,325,667,1,73,normal
17,325,645,1,84,normal
17,325,684,1,90,normal
17,338,1,1,19,normal
17,338,633,51,90,normal
17,356,646,1,50,normal
17,356,1,1,79,normal
17,370,608,1,88,normal
17,379,630,1,39,normal
17,382,630,1,75,normal
18,258,558,1,6,normal
18,258,572,25,12,normal
18,258,1,1,17,normal
18,258,1,1,61,normal
18,258,572,25,73,normal
18,258,588,1,87,normal
18,274,608,1,90,normal
18,290,1,1,4,normal
18,290,1,1,44,normal
18,290,353,1,57,normal
18,306,353,1,4,normal
18,306,353,1,12,normal
18,314,577,7,49,normal
18,314,1,1,80,normal
18,318,592,56,119,normal
18,318,585,56,121,normal
18,320,560,1,56,normal
18,320,6569,1,60,autogol
18,320,560,1,78,normal
18,320,609,71,88,normal
19,200,353,1,8,normal
19,200,1,1,26,normal
19,200,19,1,68,normal
19,200,515,1,70,normal
19,214,529,78,38,normal
19,232,482,1,60,normal
19,244,1,1,20,normal
19,244,353,1,32,normal
19,244,554,49,37,normal
19,244,19,1,67,normal
19,244,19,1,70,normal
19,252,19,1,3,normal
19,252,1,1,68,normal
19,252,522,1,74,normal
19,252,1,1,89,normal
19,255,547,38,73,normal
19,256,19,1,19,normal
19,256,46,89,28,normal
19,256,51,89,51,normal
19,256,527,1,56,normal
19,256,470,1,82,normal
20,142,19,1,12,penal
20,142,442,1,32,normal
20,142,19,1,45,normal
20,142,19,1,78,normal
20,158,441,1,51,normal
20,158,144,42,54,normal
20,158,143,42,63,normal
20,158,1,1,71,normal
20,174,19,1,55,normal
20,187,442,1,13,normal
20,190,19,1,11,normal
20,190,1,1,23,normal
20,190,405,1,24,normal
20,190,405,1,26,normal
20,190,470,1,29,normal
20,190,439,1,69,normal
20,190,439,1,79,normal
20,190,443,12,90,normal
15,458,350,12,26,normal
15,458,823,12,52,penal
15,468,350,12,39,normal
15,468,817,12,66,normal
15,468,360,12,73,normal
15,481,348,81,23,normal
15,481,350,12,46,normal
15,491,360,12,72,normal
15,495,350,12,53,normal
15,495,360,12,63,normal
15,495,187,66,64,normal
15,495,833,66,76,normal
