mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1994,https://www.losmundialesdefutbol.com/partidos/1994_holanda_arabia_saudita.php,Paises Bajos,Gaston Taument,86,normal,2026-03-17T00:04:00.196492
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_grecia.php,Argentina,Gabriel Batistuta,2,normal,2026-03-17T00:04:03.990764
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_grecia.php,Argentina,Gabriel Batistuta,44,normal,2026-03-17T00:04:03.990764
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_grecia.php,Argentina,Diego Maradona,60,normal,2026-03-17T00:04:03.990764
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_grecia.php,Argentina,Gabriel Batistuta,90,penal,2026-03-17T00:04:03.990764
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_bulgaria.php,Nigeria,Rasheed Yekini,21,normal,2026-03-17T00:04:07.183938
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_bulgaria.php,Nigeria,Daniel Amokachi,43,normal,2026-03-17T00:04:07.183938
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_bulgaria.php,Nigeria,Emmanuel Amunike,55,normal,2026-03-17T00:04:07.183938
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suiza.php,Suiza,Alain Sutter,16,normal,2026-03-17T00:04:09.471690
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suiza.php,Rumania,Gheorghe Hagi,35,normal,2026-03-17T00:04:09.471690
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suiza.php,Suiza,Stephane Chapuisat,52,normal,2026-03-17T00:04:09.471690
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suiza.php,Suiza,Adrian Knup,65,normal,2026-03-17T00:04:09.471690
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suiza.php,Suiza,Adrian Knup,72,normal,2026-03-17T00:04:09.471690
1994,https://www.losmundialesdefutbol.com/partidos/1994_estados_unidos_colombia.php,Estados Unidos,Andres Escobar,35,autogol,2026-03-17T00:04:13.351887
1994,https://www.losmundialesdefutbol.com/partidos/1994_estados_unidos_colombia.php,Estados Unidos,Earnie Stewart,52,normal,2026-03-17T00:04:13.351887
1994,https://www.losmundialesdefutbol.com/partidos/1994_estados_unidos_colombia.php,Colombia,Adolfo Valencia,90,normal,2026-03-17T00:04:13.351887
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_noruega.php,Italia,Dino Baggio,69,normal,2026-03-17T00:04:16.794683
1994,https://www.losmundialesdefutbol.com/partidos/1994_mexico_irlanda.php,México,Luis Garcia,42,normal,2026-03-17T00:04:22.214109
1994,https://www.losmundialesdefutbol.com/partidos/1994_mexico_irlanda.php,México,Luis Garcia,65,normal,2026-03-17T00:04:22.214109
1994,https://www.losmundialesdefutbol.com/partidos/1994_mexico_irlanda.php,Irlanda,John Aldridge,84,normal,2026-03-17T00:04:22.214109
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_rusia.php,Rusia,Oleg Salenko,4,penal,2026-03-17T00:04:28.601918
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_rusia.php,Suecia,Tomas Brolin,37,penal,2026-03-17T00:04:28.601918
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_rusia.php,Suecia,Martin Dahlin,59,normal,2026-03-17T00:04:28.601918
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_rusia.php,Suecia,Martin Dahlin,81,normal,2026-03-17T00:04:28.601918
1994,https://www.losmundialesdefutbol.com/partidos/1994_belgica_holanda.php,Bélgica,Philippe Albert,65,normal,2026-03-17T00:04:32.151403
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_marruecos.php,Arabia Saudita,Sami Al Jaber,7,penal,2026-03-17T00:04:36.555204
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_marruecos.php,Marruecos,Mohammed Chaouch,26,normal,2026-03-17T00:04:36.555204
