mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1990,https://www.losmundialesdefutbol.com/partidos/1990_argentina_rumania.php,Rumania,Gavril Balint,68,normal,2026-03-17T00:08:56.239667
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_urss.php,URSS,Oleg Protasov,20,normal,2026-03-17T00:09:00.033286
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_urss.php,URSS,Andrei Zygmantovich,29,normal,2026-03-17T00:09:00.033286
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_urss.php,URSS,Aleksandr Zavarov,52,normal,2026-03-17T00:09:00.033286
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_urss.php,URSS,Igor Dobrovolskyi,63,normal,2026-03-17T00:09:00.033286
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_emiratos_arabes.php,Yugoslavia,Safet Susic,5,normal,2026-03-17T00:09:06.024183
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_emiratos_arabes.php,Yugoslavia,Darko Pancev,9,normal,2026-03-17T00:09:06.024183
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_emiratos_arabes.php,Emiratos Arabes,Ali Thani Jumaa,22,normal,2026-03-17T00:09:06.024183
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_emiratos_arabes.php,Yugoslavia,Darko Pancev,46,normal,2026-03-17T00:09:06.024183
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_emiratos_arabes.php,Yugoslavia,Robert Prosinecki,90,normal,2026-03-17T00:09:06.024183
1990,https://www.losmundialesdefutbol.com/partidos/1990_italia_checoslovaquia.php,Italia,Salvatore Schillaci,9,normal,2026-03-17T00:09:10.160046
1990,https://www.losmundialesdefutbol.com/partidos/1990_italia_checoslovaquia.php,Italia,Roberto Baggio,78,normal,2026-03-17T00:09:10.160046
1990,https://www.losmundialesdefutbol.com/partidos/1990_austria_estados_unidos.php,Austria,Andeas Ogris,49,normal,2026-03-17T00:09:12.109597
1990,https://www.losmundialesdefutbol.com/partidos/1990_austria_estados_unidos.php,Austria,Gerhard Rodax,63,normal,2026-03-17T00:09:12.109597
1990,https://www.losmundialesdefutbol.com/partidos/1990_austria_estados_unidos.php,Estados Unidos,Bruce Murray,83,normal,2026-03-17T00:09:12.109597
1990,https://www.losmundialesdefutbol.com/partidos/1990_brasil_escocia.php,Brasil,Muller,81,normal,2026-03-17T00:09:15.894938
1990,https://www.losmundialesdefutbol.com/partidos/1990_suecia_costa_rica.php,Suecia,Johnny Ekstrom,32,normal,2026-03-17T00:09:17.655747
