seleccion,mundiales_jugados,campeon_veces,campeon_anios,subcampeon_veces,subcampeon_anios,posicion_historica,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,diferencia_gol,url,fecha_scraping
Sudáfrica,4,0,,0,,49,9,2,4,3,11,16,-5,https://www.losmundialesdefutbol.com/selecciones/sudafrica_seleccion.php,2026-03-16T22:23:43.678625
Suiza,13,0,,0,,17,41,14,8,19,55,73,-18,https://www.losmundialesdefutbol.com/selecciones/suiza_seleccion.php,2026-03-16T22:23:45.521553
Túnez,7,0,,0,,44,18,3,5,10,14,26,-12,https://www.losmundialesdefutbol.com/selecciones/tunez_seleccion.php,2026-03-16T22:23:47.255673
Uruguay,15,2,"1930,1950",1,1930,9,59,25,13,21,89,76,+13,https://www.losmundialesdefutbol.com/selecciones/uruguay_seleccion.php,2026-03-16T22:23:49.200441
Uzbekistán,1,0,,0,,70,0,0,0,0,0,0,0,https://www.losmundialesdefutbol.com/selecciones/uzbekistan_seleccion.php,2026-03-16T22:23:51.136285
Alemania Oriental,1,0,,0,,51,6,2,2,2,5,5,0,https://www.losmundialesdefutbol.com/selecciones/alemania_oriental_seleccion.php,2026-03-16T22:28:51.015264
Angola,1,0,,0,,63,3,0,2,1,1,2,-1,https://www.losmundialesdefutbol.com/selecciones/angola_seleccion.php,2026-03-16T22:29:00.331876
Bolivia,3,0,,0,,69,6,0,1,5,1,20,-19,https://www.losmundialesdefutbol.com/selecciones/bolivia_seleccion.php,2026-03-16T22:29:51.634356
Bosnia-Herzegovina,1,0,,0,,59,3,1,0,2,4,4,0,https://www.losmundialesdefutbol.com/selecciones/bosnia_herzegovina_seleccion.php,2026-03-16T22:29:59.550592
Bulgaria,7,0,,0,,39,26,3,8,15,22,53,-31,https://www.losmundialesdefutbol.com/selecciones/bulgaria_seleccion.php,2026-03-16T22:30:12.454395
Camerún,8,0,,0,,31,26,5,8,13,22,47,-25,https://www.losmundialesdefutbol.com/selecciones/camerun_seleccion.php,2026-03-16T22:30:27.814125
Chile,9,0,,0,,22,33,11,7,15,40,49,-9,https://www.losmundialesdefutbol.com/selecciones/chile_seleccion.php,2026-03-16T22:30:50.787405
China,1,0,,0,,80,3,0,0,3,0,9,-9,https://www.losmundialesdefutbol.com/selecciones/china_seleccion.php,2026-03-16T22:30:59.529400
Corea del Norte,2,0,,0,,58,7,1,1,5,6,21,-15,https://www.losmundialesdefutbol.com/selecciones/corea_del_norte_seleccion.php,2026-03-16T22:31:15.185996
Costa Rica,6,0,,0,,30,21,6,5,10,22,39,-17,https://www.losmundialesdefutbol.com/selecciones/costa_rica_seleccion.php,2026-03-16T22:31:41.004479
Cuba,1,0,,0,,57,3,1,1,1,5,12,-7,https://www.losmundialesdefutbol.com/selecciones/cuba_seleccion.php,2026-03-16T22:31:57.760363
Dinamarca,6,0,,0,,24,23,9,6,8,31,29,+2,https://www.losmundialesdefutbol.com/selecciones/dinamarca_seleccion.php,2026-03-16T22:32:12.430136
El Salvador,2,0,,0,,84,6,0,0,6,1,22,-21,https://www.losmundialesdefutbol.com/selecciones/el_salvador_seleccion.php,2026-03-16T22:32:35.749980
Emiratos Arabes,1,0,,0,,78,3,0,0,3,2,11,-9,https://www.losmundialesdefutbol.com/selecciones/emiratos_arabes_seleccion.php,2026-03-16T22:32:45.166308
Eslovaquia,1,0,,0,,55,4,1,1,2,5,7,-2,https://www.losmundialesdefutbol.com/selecciones/eslovaquia_seleccion.php,2026-03-16T22:33:01.243064
Eslovenia,2,0,,0,,56,6,1,1,4,5,10,-5,https://www.losmundialesdefutbol.com/selecciones/eslovenia_seleccion.php,2026-03-16T22:33:10.705699
Gales,2,0,,0,,54,8,1,4,3,5,10,-5,https://www.losmundialesdefutbol.com/selecciones/gales_seleccion.php,2026-03-16T22:33:37.997404
